Name,Abbrev,Place,Id,Code,Department,Authors,Score 3 Yr,Score Overall
Universitas Internasional Batam,-,"KOTA BATAM - KEPULAUAN RIAU, ID",2899,101011,12,172,22590,36124
Universitas Bosowa,UNIVERSITASBOSOWAMAKASSAR,"KOTA MAKASSAR - SULAWESI SELATAN, ID",2573,091049,42,255,22442,58942
Universitas Muria Kudus,UMK,"KAB. KUDUS - JAWA TENGAH, ID",26,061009,18,256,22062,53497
Universitas Raharja,UR,"KOTA TANGERANG - BANTEN, ID",8339,041071,13,173,21970,59617
Institut Seni Indonesia Yogyakarta,ISIYOGYAKARTA,"KAB. BANTUL - DAERAH ISTIMEWA YOGYAKARTA, ID",530,002005,24,329,21707,44095
Universitas Teuku Umar,UTU,"KAB. ACEH BARAT - ACEH, ID",521,001058,20,345,21687,46725
Universitas Hamzanwadi,-,"KAB. LOMBOK TIMUR - NUSA TENGGARA BARAT, ID",2394,081035,25,247,21643,42006
Universitas Kristen Duta Wacana,UKDW,"KOTA YOGYAKARTA - DAERAH ISTIMEWA YOGYAKARTA, ID",1876,051011,16,178,21476,47769
Universitas Islam Negeri Alauddin Makassar,UINALAUDDINMAKASSAR,"KAB. GOWA - SULAWESI SELATAN, ID",3515,201006,70,673,21432,42629
Universitas PGRI Yogyakarta,UPY,"KAB. BANTUL - DAERAH ISTIMEWA YOGYAKARTA, ID",1878,051015,25,213,21390,39455
Universitas Wiraraja,UNIJA,"KAB. SUMENEP - JAWA TIMUR, ID",2086,071058,19,186,21278,35438
Universitas Jenderal Achmad Yani,UNJANI,"KOTA CIMAHI - JAWA BARAT, ID",1409,041021,44,552,20963,55311
Universitas Islam Nusantara,UNINUS,"KOTA BANDUNG - JAWA BARAT, ID",1393,041003,25,232,20796,55568
Universitas Prasetiya Mulya,-,"KOTA ADM. JAKARTA SELATAN - DKI JAKARTA, ID",1107,031063,13,136,20710,67168
Universitas Kadiri,UNIK,"KOTA KEDIRI - JAWA TIMUR, ID",2067,071039,23,236,20648,29367
Institut Teknologi Nasional Bandung,ITENAS,"KOTA BANDUNG - JAWA BARAT, ID",1452,042002,16,267,20636,56335
Universitas Khairun,UNIVERSITASKHAIRUN,"KOTA TERNATE - MALUKU UTARA, ID",505,001044,50,616,20481,50885
Universitas Muhammadiyah Palembang,UMPALEMBANG,"KOTA PALEMBANG - SUMATERA SELATAN, ID",832,021001,33,361,20243,46549
Universitas Labuhanbatu,ULB,"KAB. LABUHANBATU - SUMATERA UTARA, ID",656,011052,12,121,20154,33189
Universitas Islam Negeri Sunan Kalijaga,UINSUNANKALIJAGA,"KAB. SLEMAN - DAERAH ISTIMEWA YOGYAKARTA, ID",3512,201002,62,536,19920,49333
Institut Teknologi dan Bisnis Asia Malang,INSTITUTASIAMALANG,"KOTA MALANG - JAWA TIMUR, ID",2216,072023,6,80,19775,46185
Universitas 17 Agustus 1945 Semarang,UNTAGSEMARANG,"KOTA SEMARANG - JAWA TENGAH, ID",16,061003,19,229,19647,44677
Universitas Putra Indonesia Yptk Padang,UPIYPTK,"KOTA PADANG - SUMATERA BARAT, ID",2900,101012,17,338,19557,35280
Politeknik Negeri Banjarmasin,POLIBAN,"KOTA BANJARMASIN - KALIMANTAN SELATAN, ID",552,005015,25,207,19550,38961
Universitas Muhammadiyah Palangka Raya,UMPR,"KOTA PALANGKARAYA - KALIMANTAN TENGAH, ID",3140,111009,18,160,19188,38071
Universitas Putera Batam,UPB,"KOTA BATAM - KEPULAUAN RIAU, ID",2906,101019,11,136,19013,53503
Universitas Nusa Putra,NPU,"KAB. SUKABUMI - JAWA BARAT, ID",1659,041067,13,166,18902,32406
Universitas Alma Ata,UAA,"KAB. BANTUL - DAERAH ISTIMEWA YOGYAKARTA, ID",479,051021,19,149,18667,37425
Institut Seni Indonesia Surakarta,ISISURAKARTA,"KOTA SURAKARTA - JAWA TENGAH, ID",11,002008,14,244,18430,33840
Universitas Maritim Raja Ali Haji,UMRAH,"KOTA TANJUNG PINANG - KEPULAUAN RIAU, ID",514,001052,22,229,18329,44221
Universitas Muhammadiyah Ponorogo,UMPO,"KAB. PONOROGO - JAWA TIMUR, ID",2072,071044,24,206,18304,52104
Institut Teknologi dan Bisnis STIKOM Bali,ITBSTIKOMBALI,"KOTA DENPASAR - BALI, ID",2428,082010,5,172,18083,49375
